ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALKWH,AVERAGEKWH
93101,1,2022,Elec- Agricultural,Y,0,0,
93101,2,2022,Elec- Agricultural,Y,0,0,
93101,3,2022,Elec- Agricultural,Y,0,0,
93110,1,2022,Elec- Agricultural,Y,0,0,
93110,2,2022,Elec- Agricultural,Y,0,0,
93110,3,2022,Elec- Agricultural,Y,0,0,
93117,1,2022,Elec- Agricultural,Y,0,0,
93117,2,2022,Elec- Agricultural,Y,0,0,
93117,3,2022,Elec- Agricultural,Y,0,0,
93202,1,2022,Elec- Agricultural,Y,0,0,
93202,2,2022,Elec- Agricultural,Y,0,0,
93202,3,2022,Elec- Agricultural,Y,0,0,
93203,1,2022,Elec- Agricultural,Y,0,0,
93203,2,2022,Elec- Agricultural,Y,0,0,
93203,3,2022,Elec- Agricultural,Y,0,0,
93204,1,2022,Elec- Agricultural,Y,0,0,
93204,2,2022,Elec- Agricultural,Y,0,0,
93204,3,2022,Elec- Agricultural,Y,0,0,
93206,1,2022,Elec- Agricultural,Y,0,0,
93206,2,2022,Elec- Agricultural,Y,0,0,
93206,3,2022,Elec- Agricultural,Y,0,0,
93210,1,2022,Elec- Agricultural,Y,0,0,
93210,2,2022,Elec- Agricultural,N,106,6376766,60158
93210,3,2022,Elec- Agricultural,N,108,6842548,63357
93212,1,2022,Elec- Agricultural,Y,0,0,
93212,2,2022,Elec- Agricultural,Y,0,0,
93212,3,2022,Elec- Agricultural,Y,0,0,
93215,1,2022,Elec- Agricultural,Y,0,0,
93215,2,2022,Elec- Agricultural,Y,0,0,
93215,3,2022,Elec- Agricultural,Y,0,0,
93219,1,2022,Elec- Agricultural,Y,0,0,
93219,2,2022,Elec- Agricultural,Y,0,0,
93219,3,2022,Elec- Agricultural,Y,0,0,
93224,1,2022,Elec- Agricultural,Y,0,0,
93224,2,2022,Elec- Agricultural,Y,0,0,
93224,3,2022,Elec- Agricultural,Y,0,0,
93225,1,2022,Elec- Agricultural,Y,0,0,
93225,2,2022,Elec- Agricultural,Y,0,0,
93225,3,2022,Elec- Agricultural,Y,0,0,
93230,1,2022,Elec- Agricultural,Y,383,6145396,16045
93230,2,2022,Elec- Agricultural,Y,0,0,
93230,3,2022,Elec- Agricultural,Y,0,0,
93234,1,2022,Elec- Agricultural,Y,0,0,
93234,2,2022,Elec- Agricultural,Y,0,0,
93234,3,2022,Elec- Agricultural,Y,268,9854708,36771
93239,1,2022,Elec- Agricultural,Y,0,0,
93239,2,2022,Elec- Agricultural,Y,0,0,
93239,3,2022,Elec- Agricultural,Y,0,0,
93241,1,2022,Elec- Agricultural,Y,0,0,
93241,2,2022,Elec- Agricultural,Y,0,0,
93241,3,2022,Elec- Agricultural,Y,0,0,
93242,1,2022,Elec- Agricultural,Y,0,0,
93242,2,2022,Elec- Agricultural,Y,0,0,
93242,3,2022,Elec- Agricultural,Y,0,0,
93243,1,2022,Elec- Agricultural,Y,0,0,
93243,2,2022,Elec- Agricultural,Y,0,0,
