ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALKWH,AVERAGEKWH
93280,5,2022,Elec- Agricultural,Y,658,96999884,147416
93280,6,2022,Elec- Agricultural,Y,535,94416060,176479
93286,4,2022,Elec- Agricultural,Y,0,0,
93286,5,2022,Elec- Agricultural,Y,0,0,
93286,6,2022,Elec- Agricultural,Y,181,1580852,8734
93291,4,2022,Elec- Agricultural,Y,0,0,
93291,5,2022,Elec- Agricultural,Y,0,0,
93291,6,2022,Elec- Agricultural,Y,0,0,
93292,4,2022,Elec- Agricultural,Y,0,0,
93292,5,2022,Elec- Agricultural,Y,0,0,
93292,6,2022,Elec- Agricultural,Y,0,0,
93301,4,2022,Elec- Agricultural,Y,0,0,
93301,5,2022,Elec- Agricultural,Y,0,0,
93301,6,2022,Elec- Agricultural,Y,0,0,
93304,4,2022,Elec- Agricultural,Y,0,0,
93304,5,2022,Elec- Agricultural,Y,109,6808727,62465
93304,6,2022,Elec- Agricultural,Y,109,6904886,63348
93305,4,2022,Elec- Agricultural,Y,0,0,
93305,5,2022,Elec- Agricultural,Y,0,0,
93305,6,2022,Elec- Agricultural,Y,0,0,
93306,4,2022,Elec- Agricultural,Y,0,0,
93306,5,2022,Elec- Agricultural,Y,0,0,
93306,6,2022,Elec- Agricultural,Y,0,0,
93307,4,2022,Elec- Agricultural,Y,646,29348795,45432
93307,5,2022,Elec- Agricultural,Y,575,34411421,59846
93307,6,2022,Elec- Agricultural,Y,383,29777066,77747
93308,4,2022,Elec- Agricultural,Y,194,6705830,34566
93308,5,2022,Elec- Agricultural,Y,193,9368078,48539
93308,6,2022,Elec- Agricultural,Y,192,10521411,54799
93309,4,2022,Elec- Agricultural,Y,0,0,
93309,5,2022,Elec- Agricultural,Y,0,0,
93309,6,2022,Elec- Agricultural,Y,0,0,
93311,4,2022,Elec- Agricultural,Y,232,26939106,116117
93311,5,2022,Elec- Agricultural,Y,225,29733039,132147
93311,6,2022,Elec- Agricultural,Y,191,28865290,151127
93312,4,2022,Elec- Agricultural,Y,0,0,
93312,5,2022,Elec- Agricultural,Y,0,0,
93312,6,2022,Elec- Agricultural,Y,0,0,
93313,4,2022,Elec- Agricultural,Y,0,0,
93313,5,2022,Elec- Agricultural,Y,0,0,
93313,6,2022,Elec- Agricultural,N,192,8819289,45934
93314,4,2022,Elec- Agricultural,Y,0,0,
93314,5,2022,Elec- Agricultural,Y,0,0,
93314,6,2022,Elec- Agricultural,Y,0,0,
93401,4,2022,Elec- Agricultural,Y,0,0,
93401,5,2022,Elec- Agricultural,Y,0,0,
93401,6,2022,Elec- Agricultural,Y,0,0,
93402,4,2022,Elec- Agricultural,Y,0,0,
93402,5,2022,Elec- Agricultural,Y,0,0,
93402,6,2022,Elec- Agricultural,Y,0,0,
